Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleCondition,SalePrice
384,45,RH,60.0,9000,Reg,Corner,SawyerW,1Fam,1.5Unf,6,3,1928,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,Fa,No,Unf,0,Unf,784,784,TA,784,0,784,0,1,0,2,TA,5,0,Missing,Detchd,1950.0,Unf,2,360,0,0,91,10,2009,Normal,76000
385,60,RL,69.0,53107,IR2,Corner,ClearCr,1Fam,2Story,6,5,1992,1992,Gable,HdBoard,HdBoard,None,0.0,Gd,PConc,Gd,Av,GLQ,985,Unf,595,1580,Ex,1079,874,1953,1,2,1,3,Gd,9,2,Fa,Attchd,1992.0,Fin,2,501,216,231,0,6,2007,Normal,240000
386,120,RL,43.0,3182,Reg,Inside,Blmngtn,TwnhsE,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,16.0,Gd,PConc,Gd,No,GLQ,24,Unf,1232,1256,Ex,1269,0,1269,0,2,0,2,Gd,6,1,TA,Attchd,2004.0,Fin,2,430,146,20,0,4,2010,Normal,192000
387,50,RL,58.0,8410,Reg,FR2,Edwards,1Fam,1.5Fin,5,3,1910,1996,Gambrel,Wd Sdng,VinylSd,None,0.0,TA,PConc,TA,No,Unf,0,Unf,658,658,TA,658,526,1184,0,1,0,5,TA,8,0,Missing,Attchd,1980.0,Unf,0,0,0,151,0,5,2006,AdjLand,81000
388,80,RL,72.0,7200,Reg,Inside,Edwards,1Fam,SLvl,6,6,1976,1976,Hip,MetalSd,MetalSd,BrkFace,255.0,TA,CBlock,TA,Av,ALQ,631,Unf,410,1041,Ex,1125,0,1125,1,1,0,3,TA,6,1,Fa,Detchd,1977.0,Unf,1,352,296,0,0,10,2009,Abnorml,125000
389,20,RL,93.0,9382,IR1,CulDSac,CollgCr,1Fam,1Story,7,5,1999,2000,Gable,VinylSd,VinylSd,BrkFace,125.0,Gd,PConc,Gd,No,Unf,0,Unf,1468,1468,Ex,1479,0,1479,0,2,0,3,Gd,6,0,Missing,Attchd,1999.0,RFn,2,577,120,25,0,7,2008,Normal,191000
390,60,RL,96.0,12474,Reg,Inside,NridgHt,1Fam,2Story,10,5,2007,2008,Gable,VinylSd,VinylSd,Stone,272.0,Ex,PConc,Ex,Av,GLQ,1280,Unf,402,1682,Ex,1742,590,2332,1,2,1,3,Ex,9,1,Ex,BuiltIn,2008.0,Fin,3,846,196,134,0,8,2008,Partial,426000
391,50,RL,50.0,8405,Reg,Inside,Edwards,1Fam,1.5Fin,5,8,1900,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Rec,241,BLQ,229,861,Ex,961,406,1367,1,1,0,4,TA,7,0,Missing,Detchd,1978.0,Unf,1,384,0,130,112,4,2008,Normal,119000
392,60,RL,71.0,12209,IR1,CulDSac,Mitchel,1Fam,2Story,6,5,2001,2002,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Ex,No,ALQ,690,Unf,114,804,Ex,804,1157,1961,1,2,1,3,Gd,7,1,TA,BuiltIn,2001.0,Fin,2,560,125,192,0,6,2009,Normal,215000
393,20,RL,69.0,8339,IR1,Inside,NAmes,1Fam,1Story,5,7,1959,1959,Gable,MetalSd,MetalSd,None,0.0,TA,Slab,TA,No,Unf,0,Unf,0,0,TA,882,0,882,0,1,0,3,TA,5,0,Missing,Attchd,1959.0,RFn,1,294,0,0,0,7,2007,Normal,106500
394,30,RL,69.0,7446,Reg,Corner,BrkSide,1Fam,1Story,4,5,1941,1950,Gable,WdShing,Wd Shng,None,0.0,TA,CBlock,TA,No,Rec,266,Unf,522,788,TA,788,0,788,0,1,0,2,TA,4,2,TA,Attchd,1980.0,Unf,0,0,0,0,0,4,2006,Abnorml,100000
395,50,RL,60.0,10134,Reg,Inside,OldTown,1Fam,1.5Fin,5,6,1940,1950,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,735,735,Gd,735,299,1034,0,1,0,2,TA,5,0,Missing,Detchd,1940.0,Unf,1,240,0,39,0,7,2007,Normal,109000
396,20,RL,68.0,9571,Reg,Inside,Edwards,1Fam,1Story,5,6,1956,1956,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Av,BLQ,739,Unf,405,1144,TA,1144,0,1144,1,1,0,3,TA,6,0,Missing,Attchd,1956.0,Unf,1,596,44,0,0,6,2010,Normal,129000
397,20,RL,60.0,7200,Reg,Inside,CollgCr,1Fam,1Story,5,5,1972,1972,Hip,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,Av,Rec,777,Unf,117,894,TA,894,0,894,0,1,0,2,TA,6,0,Missing,Detchd,1985.0,RFn,2,600,215,0,0,9,2009,Normal,123000
398,60,RL,69.0,7590,Reg,Inside,NAmes,1Fam,2Story,5,5,1962,1962,Gable,VinylSd,VinylSd,BrkFace,288.0,TA,CBlock,TA,No,ALQ,540,Unf,324,864,TA,876,936,1812,0,2,0,4,TA,8,1,TA,Attchd,1962.0,RFn,1,264,0,168,0,7,2007,Normal,169500
399,30,RM,60.0,8967,Reg,Corner,IDOTRR,1Fam,1Story,5,2,1920,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,Fa,No,Unf,0,Unf,961,961,Gd,1077,0,1077,0,1,0,2,TA,6,0,Missing,Detchd,1920.0,Unf,1,338,0,0,0,11,2007,Abnorml,67000
400,60,FV,65.0,8125,Reg,Inside,Somerst,1Fam,2Story,7,5,2006,2007,Gable,CemntBd,CmentBd,Stone,100.0,Gd,PConc,Gd,No,GLQ,812,Unf,280,1092,Ex,1112,438,1550,1,2,0,2,Gd,7,0,Missing,Attchd,2007.0,Fin,2,438,0,168,0,10,2009,Normal,241000
401,120,RL,38.0,14963,IR2,Inside,Veenker,TwnhsE,1Story,8,5,1996,1996,Gable,BrkFace,BrkFace,None,0.0,Gd,PConc,Gd,No,GLQ,786,Unf,474,1260,Ex,1288,0,1288,1,1,1,1,Ex,4,2,Gd,Attchd,1996.0,Fin,2,500,120,30,0,12,2008,Normal,245500
402,20,RL,65.0,8767,IR1,Inside,CollgCr,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,24,Unf,1286,1310,Ex,1310,0,1310,0,2,0,3,Gd,6,1,Gd,Attchd,2005.0,Fin,2,400,0,0,0,7,2006,Partial,164990
403,30,RL,60.0,10200,Reg,Inside,Sawyer,1Fam,1Story,5,8,1940,1997,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,Unf,672,672,Ex,672,0,672,0,1,0,2,TA,4,0,Missing,Detchd,1940.0,Unf,1,240,168,0,0,8,2008,Normal,108000
404,60,RL,93.0,12090,Reg,Corner,NoRidge,1Fam,2Story,8,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,650.0,Gd,PConc,Gd,No,Unf,0,Unf,1141,1141,Gd,1165,1098,2263,0,2,1,4,Gd,10,1,TA,BuiltIn,1998.0,Fin,2,420,144,123,0,7,2006,Abnorml,258000
405,60,RL,69.0,10364,IR1,Inside,Gilbert,1Fam,2Story,6,5,1995,1996,Gable,MetalSd,MetalSd,None,0.0,TA,PConc,Gd,No,Unf,0,Unf,806,806,Gd,806,766,1572,0,2,1,3,TA,7,1,TA,BuiltIn,1995.0,Fin,2,373,0,40,0,5,2007,Normal,168000
406,20,RL,69.0,9991,IR1,Corner,Sawyer,1Fam,1Story,4,4,1976,1993,Gable,Plywood,Plywood,None,0.0,TA,CBlock,TA,No,BLQ,1116,Unf,165,1281,Ex,1620,0,1620,1,2,0,3,TA,8,1,TA,Attchd,1993.0,Unf,2,490,120,78,0,6,2009,Normal,150000
407,50,RL,51.0,10480,Reg,Inside,SWISU,1Fam,1.5Fin,6,5,1936,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,1064,1064,Ex,1166,0,1639,0,1,0,3,TA,6,0,Missing,Detchd,1936.0,Unf,1,240,0,0,0,3,2008,Normal,115000
408,70,RL,63.0,15576,Reg,Inside,Crawfor,1Fam,2Story,6,7,1915,1976,Gable,Wd Sdng,Plywood,None,0.0,TA,BrkTil,Gd,No,Unf,0,Unf,840,840,Ex,840,840,1680,0,2,0,4,TA,8,0,Missing,Attchd,1960.0,Unf,1,308,0,0,160,3,2008,Normal,177000
409,60,RL,109.0,14154,Reg,Corner,NridgHt,1Fam,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,PConc,Ex,No,Unf,0,Unf,1063,1063,Ex,1071,1101,2172,0,2,1,3,Gd,9,1,Gd,Attchd,2006.0,RFn,3,947,192,62,0,8,2007,Partial,280000
410,60,FV,85.0,10800,Reg,Inside,Somerst,1Fam,2Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,100.0,Gd,PConc,Ex,No,GLQ,789,Unf,245,1034,Ex,1050,1028,2078,1,2,1,3,Ex,8,1,Gd,Attchd,2008.0,Fin,3,836,0,102,0,4,2008,Partial,339750
411,20,RL,68.0,9571,Reg,Inside,Edwards,1Fam,1Story,5,3,1958,1958,Gable,BrkComm,Brk Cmn,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,1276,1276,TA,1276,0,1276,0,1,0,3,TA,5,0,Missing,Attchd,1958.0,Unf,1,350,0,0,0,6,2009,Abnorml,60000
412,190,RL,100.0,34650,Reg,Inside,Gilbert,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Mn,Rec,1056,Unf,0,1056,TA,1056,0,1056,1,1,0,3,TA,5,0,Missing,Attchd,1955.0,Fin,2,572,264,0,0,1,2006,Normal,145000
413,20,FV,69.0,4403,IR2,Inside,Somerst,1Fam,1Story,7,5,2009,2009,Gable,MetalSd,MetalSd,Stone,432.0,Ex,PConc,Ex,Av,GLQ,578,Unf,892,1470,Ex,1478,0,1478,1,2,1,2,Gd,7,1,Gd,Attchd,2009.0,Fin,2,484,0,144,0,6,2010,Partial,222000
414,30,RM,56.0,8960,Reg,Inside,OldTown,1Fam,1Story,5,6,1927,1950,Gable,WdShing,Wd Shng,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,1008,1008,Gd,1028,0,1028,0,1,0,2,TA,5,1,Gd,Detchd,1927.0,Unf,2,360,0,0,130,3,2010,Normal,115000
415,60,RL,59.0,11228,IR2,CulDSac,SawyerW,1Fam,2Story,7,5,1993,1993,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,BLQ,50,GLQ,499,1080,Ex,1080,1017,2097,0,2,1,3,Gd,9,1,TA,Attchd,1993.0,Unf,3,678,196,187,0,12,2008,Normal,228000
416,20,RL,73.0,8899,IR1,Inside,Gilbert,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,24,Unf,1316,1340,Ex,1340,0,1340,0,2,0,3,Gd,6,0,Missing,Attchd,2007.0,Fin,2,396,100,30,0,8,2007,Partial,181134
417,60,RL,74.0,7844,Reg,Inside,Sawyer,1Fam,2Story,6,7,1978,1978,Hip,HdBoard,HdBoard,BrkFace,203.0,TA,CBlock,TA,No,ALQ,209,Unf,463,672,TA,672,728,1400,0,1,1,3,TA,6,1,TA,Attchd,1978.0,Fin,2,440,0,0,0,3,2006,Normal,149500
418,70,RL,86.0,22420,IR1,Inside,Crawfor,1Fam,2Story,6,6,1918,1950,Hip,Wd Sdng,Stucco,None,0.0,TA,BrkTil,Gd,No,BLQ,1128,Unf,242,1370,TA,1370,1254,2624,1,2,1,4,TA,10,1,Gd,Detchd,1918.0,Unf,3,864,0,0,0,11,2007,Normal,239000
419,50,RL,60.0,8160,Reg,Inside,Edwards,1Fam,1.5Fin,5,6,1940,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,ALQ,312,Unf,444,756,Fa,756,378,1134,1,1,1,3,TA,7,0,Missing,Detchd,1940.0,Unf,1,240,0,0,0,4,2007,AdjLand,126000
420,20,RL,65.0,8450,Reg,Inside,NAmes,1Fam,1Story,5,6,1968,1968,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,BLQ,775,Unf,281,1056,Ex,1056,0,1056,1,1,0,3,TA,6,1,Fa,Attchd,1968.0,Unf,1,304,0,85,184,7,2010,Normal,142000
421,90,RM,78.0,7060,Reg,Inside,Mitchel,Duplex,SFoyer,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,200.0,TA,PConc,Gd,Gd,GLQ,1309,Unf,35,1344,Ex,1344,0,1344,2,2,0,2,TA,8,0,Missing,Attchd,1997.0,Fin,4,784,0,0,0,11,2008,Alloca,206300
422,20,RL,69.0,16635,IR1,FR2,NWAmes,1Fam,1Story,6,7,1977,2000,Gable,CemntBd,CmentBd,Stone,126.0,Gd,CBlock,Gd,No,ALQ,1246,Unf,356,1602,Gd,1602,0,1602,0,2,0,3,Gd,8,1,TA,Attchd,1977.0,Fin,2,529,240,0,0,6,2009,Normal,215000
423,20,RL,100.0,21750,Reg,Inside,Mitchel,1Fam,1Story,5,5,1954,1954,Hip,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,988,988,Ex,988,0,988,0,1,0,2,TA,4,0,Missing,Attchd,1954.0,RFn,2,520,0,0,0,2,2008,Normal,113000
424,60,RL,80.0,9200,Reg,Inside,NoRidge,1Fam,2Story,8,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,473.0,Gd,PConc,Gd,No,GLQ,986,Unf,484,1470,Gd,1470,1160,2630,1,2,1,4,Gd,8,1,TA,Attchd,1998.0,Fin,3,696,0,66,0,6,2008,Normal,315000
425,20,RL,72.0,9000,Reg,Inside,NAmes,1Fam,1Story,6,5,1956,1956,Gable,Wd Sdng,Wd Sdng,BrkFace,74.0,TA,CBlock,Gd,No,LwQ,616,Unf,580,1196,Gd,1196,0,1196,1,1,0,2,TA,6,1,Gd,Attchd,1956.0,RFn,1,297,0,44,0,5,2008,Normal,139000
426,60,RM,60.0,3378,Reg,Inside,OldTown,1Fam,2Story,7,8,1946,1992,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,651,651,Gd,707,682,1389,0,1,1,3,TA,6,2,Gd,Detchd,1947.0,Unf,1,240,0,0,126,9,2009,Normal,135000
427,80,RL,69.0,12800,Reg,Inside,SawyerW,1Fam,SLvl,7,5,1989,1989,Gable,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,PConc,Gd,Gd,GLQ,1518,Unf,0,1518,Gd,1644,0,1644,1,2,0,2,Gd,5,1,TA,Attchd,1989.0,Fin,2,569,80,0,0,8,2009,Normal,275000
428,20,RL,77.0,8593,IR1,Inside,NAmes,1Fam,1Story,4,6,1957,1957,Hip,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,Rec,288,Unf,619,907,Ex,907,0,907,0,1,0,3,TA,5,0,Missing,Detchd,1964.0,Unf,1,352,0,0,0,7,2008,Normal,109008
429,20,RL,64.0,6762,Reg,Inside,CollgCr,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,BrkFace,108.0,Gd,PConc,Gd,No,GLQ,664,Unf,544,1208,Ex,1208,0,1208,1,2,0,2,Gd,6,0,Missing,Attchd,2007.0,RFn,2,628,105,54,0,9,2007,Partial,195400
430,20,RL,130.0,11457,IR1,Corner,Timber,1Fam,1Story,6,5,1988,1988,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,Gd,Mn,GLQ,1005,Unf,387,1392,TA,1412,0,1412,1,2,0,3,Gd,6,1,TA,Attchd,1988.0,Unf,2,576,0,0,169,3,2009,Normal,175000
431,160,RM,21.0,1680,Reg,Inside,BrDale,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,TA,CBlock,TA,No,ALQ,387,Unf,96,483,TA,483,504,987,0,1,1,2,TA,4,0,Missing,Detchd,1971.0,Unf,1,264,0,0,0,7,2008,Abnorml,85400
432,50,RM,60.0,5586,IR1,Inside,OldTown,1Fam,1.5Fin,6,7,1920,1998,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,901,901,Gd,1088,110,1198,0,1,0,4,TA,7,0,Missing,Attchd,1980.0,Unf,0,0,0,98,0,9,2008,Abnorml,79900
433,160,RM,24.0,1920,Reg,Inside,BrDale,TwnhsE,2Story,5,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,376.0,TA,CBlock,TA,No,ALQ,471,Unf,294,765,Ex,765,600,1365,1,1,1,2,TA,6,0,Missing,Detchd,1971.0,Unf,2,440,240,36,0,8,2007,Normal,122500
434,60,RL,100.0,10839,IR1,Corner,Gilbert,1Fam,2Story,6,5,1997,1998,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,Unf,0,Unf,926,926,Ex,926,678,1604,0,2,1,3,TA,7,1,TA,Attchd,1997.0,Fin,2,470,0,36,0,7,2008,Normal,181000
435,180,RM,21.0,1890,Reg,Inside,MeadowV,Twnhs,SFoyer,4,7,1972,1972,Gable,CemntBd,CmentBd,None,0.0,TA,CBlock,Gd,Av,ALQ,495,Unf,135,630,Gd,630,0,630,1,1,0,1,TA,3,0,Missing,Attchd,1980.0,Unf,0,0,88,0,0,6,2008,Normal,81000
436,60,RL,43.0,10667,IR2,CulDSac,CollgCr,1Fam,2Story,7,6,1996,1996,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,385,ALQ,70,799,Ex,827,834,1661,1,2,1,3,Gd,6,1,TA,Attchd,1996.0,RFn,2,550,158,61,0,4,2009,Normal,212000
437,50,RM,40.0,4400,Reg,Inside,OldTown,1Fam,1.5Fin,6,8,1920,1950,Gable,Stucco,Stucco,None,0.0,TA,BrkTil,Fa,No,Unf,0,Unf,648,648,TA,734,384,1118,0,1,0,2,TA,6,0,Missing,Detchd,1990.0,Unf,2,440,0,0,0,10,2006,Normal,116000
438,45,RM,50.0,6000,Reg,Inside,BrkSide,1Fam,1.5Unf,6,7,1926,2004,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,PConc,TA,No,Unf,0,Unf,884,884,Gd,904,0,904,0,1,0,2,TA,4,0,Missing,Detchd,1926.0,Unf,1,180,0,0,105,1,2009,Normal,119000
439,30,RL,40.0,4280,Reg,Inside,Crawfor,1Fam,1Story,5,6,1913,2002,Gable,WdShing,Stucco,None,0.0,TA,PConc,TA,No,LwQ,365,Unf,75,440,TA,694,0,694,0,1,0,2,Gd,4,1,Gd,Detchd,1990.0,Unf,1,352,0,0,34,3,2007,Normal,90350
440,50,RL,67.0,12354,Reg,Corner,Edwards,1Fam,1.5Fin,6,8,1920,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,Mn,Unf,0,Unf,684,684,Gd,684,512,1196,0,1,0,3,Gd,7,0,Missing,Detchd,2005.0,Unf,2,528,0,46,0,8,2009,Normal,110000
441,20,RL,105.0,15431,Reg,Inside,NridgHt,1Fam,1Story,10,5,2008,2008,Hip,VinylSd,VinylSd,Stone,200.0,Ex,PConc,Ex,Gd,GLQ,1767,ALQ,788,3094,Ex,2402,0,2402,1,2,0,2,Ex,10,2,Gd,Attchd,2008.0,Fin,3,672,0,72,0,4,2009,Normal,555000
442,90,RL,92.0,12108,Reg,Inside,Edwards,Duplex,1Story,4,4,1955,1955,Gable,VinylSd,VinylSd,BrkFace,270.0,TA,CBlock,TA,No,ALQ,133,Unf,1307,1440,TA,1440,0,1440,0,2,0,4,Fa,8,0,Missing,Attchd,1980.0,Unf,0,0,0,0,0,9,2008,Normal,118000
443,50,RM,52.0,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,5,7,1930,1992,Gable,MetalSd,MetalSd,None,0.0,TA,PConc,TA,No,Unf,0,Unf,1078,1078,TA,1128,445,1573,0,2,0,3,TA,8,1,Gd,Detchd,1930.0,Unf,2,360,0,0,0,6,2008,Normal,162900
444,120,RL,53.0,3922,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,2006,2007,Gable,WdShing,Wd Shng,BrkFace,72.0,Gd,PConc,Ex,Av,Unf,0,Unf,1258,1258,Ex,1258,0,1258,0,2,0,2,Gd,6,1,Gd,Attchd,2007.0,Fin,3,648,144,16,0,6,2007,Partial,172500
445,60,RL,70.0,8750,Reg,Inside,CollgCr,1Fam,2Story,7,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,GLQ,642,Unf,273,915,Ex,933,975,1908,1,2,1,4,Gd,8,1,TA,Attchd,1994.0,Unf,2,493,144,133,0,7,2008,Normal,210000
446,20,RL,73.0,9855,Reg,Corner,Edwards,1Fam,1Story,6,5,1956,1956,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,1436,1436,Fa,1689,0,1689,0,1,0,3,TA,7,1,Gd,Attchd,1956.0,Unf,2,480,0,0,0,11,2009,Normal,127500
447,20,RL,137.0,16492,IR1,Corner,NAmes,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,Gd,CBlock,TA,No,ALQ,247,Rec,557,1517,Ex,1888,0,1888,0,2,1,2,Gd,6,1,Gd,Attchd,1966.0,Fin,2,578,0,0,0,6,2010,Normal,190000
448,60,RL,69.0,11214,IR1,Corner,Gilbert,1Fam,2Story,7,5,1998,1999,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,Unf,0,Unf,930,930,Gd,956,930,1886,0,2,1,4,Gd,10,1,TA,Attchd,1998.0,Fin,2,431,89,0,0,7,2006,Normal,199900
449,50,RM,50.0,8600,Reg,Inside,IDOTRR,1Fam,1.5Fin,6,6,1937,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,780,780,TA,780,596,1376,0,2,0,3,TA,7,1,Gd,Detchd,1937.0,Unf,1,198,0,0,0,6,2006,Normal,119500
450,50,RM,50.0,6000,Reg,Inside,OldTown,1Fam,1.5Fin,3,7,1948,2002,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,ALQ,331,Unf,318,649,Ex,679,504,1183,0,1,1,2,TA,6,0,Missing,Detchd,1981.0,Unf,1,308,0,176,0,6,2007,Normal,120000
451,30,RM,70.0,5684,Reg,Inside,OldTown,1Fam,1Story,6,8,1930,2005,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,813,813,Ex,813,0,813,0,1,0,2,Gd,5,0,Missing,Detchd,1932.0,Unf,1,270,0,113,0,6,2006,Normal,110000
452,20,RL,62.0,70761,IR1,Inside,ClearCr,1Fam,1Story,7,5,1975,1975,Gable,Plywood,Plywood,None,0.0,TA,CBlock,Gd,Gd,ALQ,655,Unf,878,1533,TA,1533,0,1533,1,2,0,2,Gd,5,2,TA,Attchd,1975.0,Unf,2,576,200,54,0,12,2006,Normal,280000
453,60,RL,69.0,9303,IR1,Corner,Timber,1Fam,2Story,6,5,1996,1997,Hip,VinylSd,VinylSd,BrkFace,42.0,Gd,PConc,Ex,No,ALQ,742,Unf,130,872,Ex,888,868,1756,1,2,1,3,TA,7,0,Missing,Attchd,1996.0,Fin,2,422,144,122,0,7,2007,Normal,204000
454,60,FV,75.0,9000,Reg,Inside,Somerst,1Fam,2Story,8,5,2008,2008,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,Unf,0,Unf,768,768,Ex,786,804,1590,0,2,1,3,Gd,6,0,Missing,Attchd,2008.0,RFn,2,676,0,30,0,6,2009,Normal,210000
455,90,RL,63.0,9297,Reg,Inside,Mitchel,Duplex,1Story,5,5,1976,1976,Gable,Plywood,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,1606,Unf,122,1728,TA,1728,0,1728,2,2,0,4,TA,8,0,Missing,Detchd,1976.0,Unf,2,560,0,0,0,7,2006,Family,188000
456,20,RL,80.0,9600,Reg,Inside,NWAmes,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,TA,CBlock,TA,No,ALQ,916,Unf,326,1242,Fa,1242,0,1242,0,1,1,3,TA,6,1,TA,Attchd,1973.0,Unf,2,528,0,0,0,9,2007,Normal,175500
457,70,RM,34.0,4571,Reg,Inside,OldTown,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,624,624,Fa,624,720,1344,0,1,0,4,TA,7,0,Missing,Detchd,1916.0,Unf,3,513,0,0,96,5,2008,Abnorml,98000
458,20,RL,69.0,53227,IR1,CulDSac,ClearCr,1Fam,1Story,4,6,1954,1994,Flat,Plywood,Plywood,None,0.0,TA,CBlock,Gd,Gd,BLQ,1116,Unf,248,1364,Ex,1663,0,1663,1,1,0,2,Gd,6,2,Gd,Attchd,1954.0,Fin,2,529,224,137,0,3,2008,Normal,256000
459,70,RM,69.0,5100,Reg,Inside,OldTown,1Fam,2Story,8,7,1925,1996,Hip,Stucco,Wd Shng,None,0.0,TA,PConc,TA,No,Unf,0,Unf,588,588,Fa,833,833,1666,0,1,0,3,Gd,7,1,Gd,Detchd,1925.0,Unf,1,228,192,63,0,6,2008,Normal,161000
460,50,RL,69.0,7015,IR1,Corner,BrkSide,1Fam,1.5Fin,5,4,1950,1950,Gable,MetalSd,MetalSd,BrkCmn,161.0,TA,CBlock,TA,No,LwQ,185,Unf,524,709,TA,979,224,1203,1,1,0,3,Gd,5,1,TA,Detchd,1950.0,Unf,1,352,0,0,248,7,2009,Normal,110000
461,60,FV,75.0,8004,IR1,Inside,Somerst,1Fam,2Story,8,5,2009,2009,Gable,VinylSd,VinylSd,Stone,110.0,Gd,PConc,Gd,No,GLQ,544,Unf,288,832,Ex,832,1103,1935,1,2,1,3,TA,8,0,Missing,BuiltIn,2009.0,Fin,2,552,0,150,0,12,2009,Partial,263435
462,70,RL,60.0,7200,Reg,Inside,SWISU,1Fam,2Story,7,9,1936,2007,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,PConc,Gd,No,ALQ,350,BLQ,0,560,Ex,575,560,1135,1,1,0,3,Gd,6,0,Missing,Detchd,1971.0,RFn,2,576,256,0,0,4,2009,Normal,155000
463,20,RL,60.0,8281,IR1,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,Rec,553,BLQ,0,864,Gd,864,0,864,0,1,0,3,TA,5,1,Po,Detchd,1965.0,Unf,1,360,0,0,236,12,2009,Normal,62383
464,70,RL,74.0,11988,IR1,Inside,Crawfor,1Fam,2Story,6,7,1934,1995,Hip,Stucco,Stucco,None,0.0,TA,CBlock,TA,No,LwQ,326,Unf,389,715,Fa,849,811,1660,0,1,1,3,TA,6,1,Gd,Detchd,1939.0,Unf,1,240,0,0,0,8,2008,Normal,188700
